Skel,SF,Frame,sfDiff,sizeDiff
31_0,Skel,1,310.703694845899,323.228400367835
31_0,Skel,2,311.046322651726,323.765408213476
31_0,Skel,3,311.185618113948,324.47493633007
31_0,Skel,4,310.87772668142,324.937915861749
31_0,Skel,5,310.824716408739,324.737868107939
31_0,Skel,6,311.45502186378,325.522214247872
31_0,Skel,7,311.388380521324,325.917104098522
31_0,Skel,8,311.433376625915,325.53941895783
31_0,Skel,9,311.849144769695,325.708328568556
31_0,Skel,10,312.15022334914,326.624529805914
31_0,Skel,11,312.299685638548,325.988170934202
31_0,Skel,12,312.751365580814,326.140941152709
31_0,Skel,13,313.146453669447,325.722660038245
31_0,Skel,14,313.470843452557,325.7516178678
31_0,Skel,15,313.840983444785,325.449784091049
31_0,Skel,16,313.726150911822,324.857285888425
31_0,Skel,17,314.079549909969,325.034071326019
31_0,Skel,18,314.156136845888,324.466353492215
31_0,Skel,19,314.147671595383,323.771335705827
31_0,Skel,20,314.310414880674,324.120372334975
31_0,Skel,21,314.295482943754,323.536862922431
31_0,Skel,22,314.447381593246,323.513395118509
31_0,Skel,23,314.969932183586,323.540159070465
31_0,Skel,24,314.060565054791,322.809443975937
31_0,Skel,25,313.539855990533,322.750289457538
31_0,Skel,26,312.94988665071,322.181031291566
31_0,Skel,27,312.273947100744,321.380276173059
31_0,Skel,28,311.772788486318,321.48332622982
31_0,Skel,29,310.708036318256,321.404320327619
31_0,Skel,30,310.29422704094,321.054914102936
31_0,Skel,31,308.927289723736,320.437336463164
31_0,Skel,32,308.234724682069,320.399308271079
31_0,Skel,33,307.760173831078,319.82260258476
31_0,Skel,34,306.858016075929,319.1690337187
31_0,Skel,35,306.072566968368,319.073738607756
31_0,Skel,36,304.906512483973,318.704039252462
31_0,Skel,37,304.448858432861,318.329542126999
31_0,Skel,38,303.74172164292,317.965212768825
31_0,Skel,39,302.775320335554,317.479395775651
31_0,Skel,40,301.883791862606,317.062230683137
31_0,Skel,41,300.580046439332,316.10476801165
31_0,Skel,42,300.058954875135,316.130261473471
31_0,Skel,43,299.04100932583,315.308144666786
31_0,Skel,44,298.119794908608,315.28978906274
31_0,Skel,45,296.491217632062,314.538558373548
31_0,Skel,46,296.069789480795,314.702239915733
31_0,Skel,47,295.373151320077,314.861904385011
31_0,Skel,48,294.720357864575,315.279618068291
31_0,Skel,49,294.394379767251,315.419663571227
31_0,Skel,50,294.107804487387,315.334191695188
31_0,Skel,51,293.241799682022,315.42255476491
31_0,Skel,52,292.260733647921,315.077308057066
31_0,Skel,53,291.030842115706,314.932257183934
31_0,Skel,54,290.64857963094,315.041079151829
31_0,Skel,55,289.891167444009,315.51335798707
31_0,Skel,56,289.240186144311,315.71677183147
31_0,Skel,57,288.15971746254,315.733705652403
31_0,Skel,58,287.280879392981,315.927533475702
31_0,Skel,59,286.638376645916,316.237609923569
31_0,Skel,60,285.260598141338,316.363819792742
31_0,Skel,61,284.648535529852,317.06185451365
31_0,Skel,62,283.827929988294,317.12177656477
31_0,Skel,63,283.137286271136,318.013318945729
31_0,Skel,64,282.397046239826,318.152988722712
31_0,Skel,65,281.716707561268,318.832083567811
31_0,Skel,66,281.277391374051,319.567794349813
31_0,Skel,67,281.004354369952,320.296137728343
31_0,Skel,68,280.292771073317,321.318616672243
31_0,Skel,69,280.143550017338,322.206136947534
31_0,Skel,70,279.87787338012,322.562332010377
31_0,Skel,71,279.887042548154,323.53568269259
31_0,Skel,72,280.377196783954,323.686910409895
31_0,Skel,73,279.857117035447,324.629427070177
31_0,Skel,74,280.352511068778,325.120276158829
31_0,Skel,75,280.929185832325,325.84246064675
31_0,Skel,76,280.730267541923,325.805863729757
31_0,Skel,77,281.125136278116,326.502374924722
31_0,Skel,78,281.767408130009,327.244666106399
31_0,Skel,79,282.58590929576,327.31201146087
31_0,Skel,80,283.938649964315,327.980492014719
31_0,Skel,81,285.031617710176,328.860122190206
31_0,Skel,82,285.71574799828,328.364818920839
31_0,Skel,83,287.561177256347,329.118052687938
31_0,Skel,84,288.936047674042,330.132039081143
31_0,Skel,85,289.909327632654,330.302737962233
31_0,Skel,86,291.314524407127,330.792750739501
31_0,Skel,87,292.372401248386,330.775427857071
31_0,Skel,88,293.603252051295,331.267709236505
31_0,Skel,89,294.640652545657,331.909236977514
31_0,Skel,90,295.948869436344,332.295841135268
31_0,Skel,91,297.237402151412,332.700008765584
31_0,Skel,92,298.431540665063,333.118369359727
31_0,Skel,93,299.643872788876,333.938416410733
31_0,Skel,94,300.766836579051,334.132460896729
31_0,Skel,95,301.568014100446,334.59734969043
31_0,Skel,96,302.31791930992,334.8970655112
31_0,Skel,97,302.823090667249,335.357022485692
31_0,Skel,98,302.861528455465,335.077998602273
31_0,Skel,99,302.674067330106,335.779764147691
31_0,Skel,100,302.051882915726,336.061588091776
31_0,Skel,101,301.557888128698,335.76242034563
31_0,Skel,102,300.833282706336,335.518322443523
31_0,Skel,103,300.539899624239,335.086211629381
